category,subcategory,nudge,blogs
Breaking up / Divorce,,"We tend to only think historically. The ""best you have ever had"" is only ""the best you have ever had"", until you have the next ""best you have ever had"". Gutsy Writer - Julie Cobb",
Breaking up / Divorce,,"Think about what you just experienced. Write down what you liked and what you could leave behind. Think of relationships as an opportunity to experience. As we grow, those experiences become more defined. Get bossy with the universe and demand what you want next. You deserve it. Gutsy Writer - Julie Cobb",
Breaking up / Divorce,,Some trees in nature only seed when there is a forest fire. That means a clean slate is what creates new growth. Gutsy writer - Julie Cobb,
Breaking up / Divorce,,"Whether it was on your terms or not, it was meant to happen. If you catch yourself thinking about what YOU did wrong, you are going to attract the same pattern in your next relationship. Get really curious about how you really felt, how you feel and how you want to feel. That is powerful. Try not to get caught up in the logistics of the relationship and focus on your next desired feeling. Gutsy Writer - Julie Cobb",
Breaking up / Divorce,,"There are stages to mourning. Anger comes first. As beautiful, loving and healing beings we sometimes skip anger and go right into sadness or forgiveness, because we were taught that anger is not polite. Well, fuck that! Don't forget to get pissed! Let your anger out! Otherwise, there is no room for what you want next. Gutsy writer - Julie Cobb",
Breaking up / Divorce,,"Children know how to do it. They know two things, what they feel and what they want. Those two things are the key to life and attracting. You may be broken wide open right now and use that vulnerability to get really clear. How do you feel and what do you want? Use the language of emotions. Gutsy writer - Julie Cobb ",
Cancer,Cancer,"What can be scary about cancer is that you might die. However, we are all going to die. That is the fact. Thinking about death means you are not being in the present moment. What is in question is how we are going to live. Let cancer change how you live in the present moment. Gutsy Writer - Julie Cobb",
Cancer,,"The body has an amazing way to tell you to change. If you are holding a hot potato, your hand says ouch and tells you to change what you are doing by dropping the potato. Cancer is no different. Your body is telling you to change something. Get curious as to what that might be. Gutsy Writer - Julie Cobb",
Cancer,Cancer,"The energy of a healthy body is one where the cells are all working in harmony to achieve equilibrium. A body with cancer has cells that are working out of harmony with the rest but all cells are still trying to attain a state of health. For each person the question is, ""What function are my cancer cells trying to serve in my body and why are they separate from the rest?"" For some people it may be that they are holding a repressed feeling, but essentially those cells which contain that essence are alienated from the rest. Parts of your body holding a feeling or pattern that isn't ""allowed"" to be integrated with the rest of the body lack harmony with the rest of the cells in your body. When healing cancer examine what state your body as a whole is trying to attain for optimum health, and what your cancer cells might actually be trying to accomplish. If they are in disharmony because they are holding an emotion or feeling apart from the rest of the body, give that energy or feeling a way to be integrated back into the whole. Gutsy Writer - Nicole Sacchitella",
Cancer,,"We can fight cancer or we can accept that we have cancer. Just an FYI, we all have cancer of somekind. Its just a matter of whether it has become physical or not. Cancer is communication telling us to do something different. Have you listened to it yet or are you resisting and fighting it? Gutsy writer - Julie Cobb",
Career,,"We spend 8 hours a day or more with our J-O-B. If you don't love it, realize that you are wasting 1/3 of your life suffering voluntarily. ""Voluntarily"" is the key word, indicating that you have a choice. Choose again.. Gutsy writer - Julie Cobb",
Career,,"If you are at a loss as to what you want to do in this world, start by getting really clear on how you want to feel. Would it matter if you were a street performer, if you were happy, fulfilled and made 100k a year? Our minds sometimes lead us down the wrong path with trying to control what things look like. Focus on how you want to feel, and then let the universe take care of what it looks like. Gutsy writer - Julie Cobb",
Career,,"Life would be simply boring if you had a great boss. What if you very experience at work was to simply stand in your power? First, you have to know how you feel in order to honor it. Feeling is powerful and expressing what you feel is exponentially powerful. In order to be powerful in any relationship, including the one with your boss, you have to know how you feel. Once you know how you feel, practice expressing it in little ways. Gutsy writer - Julie Cobb",
Career,money,"Warren Buffett (like one of the richest people ever...) said the best investment is yourself. I could not agree more. If you have an idea, chase it. If you have an invention, invent it. Inspiration is a drug. It is the best drug, produced only by you. Your money and time are never wasted on chasing your own inspiration. No matter what, you will be rich, if you invest in yourself. Gutsy Writer - Julie Cobb",
Career,Work,Do you want to be a leader or do you want to manage? Define what each of those words mean to you and contemplate how they make you feel. Then answer that question for yourself. Gutsy writer - Julie Cobb,
Change,CHANGE,"Imagine we are each a river flowing from start to finish. Try as we might we can never step in the same place twice because the river will always move, and is always in flow. We don't have to force things to change, nor can we stop it instead we can accept change, because that is what is happening anyway . Gutsy Writer -Nicole Sacchitella",
Change,Change,"We are each living, organic beings. Our bodies and energies ebb and flow, constantly receiving input and stimulus from our world, just as plants and animals change with the seasons.Sometimes in order to remain in control we stifle the ebb or the flow, leaving us feeling out of balance in some way. To feel our best, we get to allow ourselves to change, just like trees get to be new in the spring, growing in the summer, fruiting in the fall and resting in the winter. Gutsy Writer- Nicole Sacchitella",
Change,Change,"The truth is that if you want something different in your life, you have to change to get it. If you think about the laws of attraction, you have to become what you want. Change has to happen. Change is uncomfortable, regardless of the situation, because we are embarking on the unknown. Patterns are familiar, change is not. If you want something different than you are getting now, change something. Gutsy writer - Julie Cobb",
COURAGE,,"There is no order of magnitude to courage. One person, might work up enough courage to switch from cereal to eggs in the morning and one person might get a divorce or quit their job. Find what your courage means to you and practice it. Gutsy writer - Julie Cobb",
COURAGE,,"You have one shot at this lifetime. There are no mistakes, there is only experience. Gutsy Writer - Julie Cobb",
COURAGE,GIFTS,"Everyone has a gift. They only way to find yours, is to experience as much as you can. Take what you like and leave what you don't. Let that be your guide. Gutsy Writer - Julie Cobb",
Courage,COURAGE,"Courageousness was never defined by a lack of fear. If you were not afraid of something, no one could call you brave. Gutsy Writer -Nicole Sacchitella",
Courage,Courage,"If you don't make a choice, the choice will be made for you. The universe has a funny way of doing that. So you might as well be the one in control. Gutsy writer - Julie Cobb",
DEATH,,"Death seems to be the one thing that we all fear the most and the only thing in this world that is guaranteed! The question is, how are you going to live in the meantime. Gutsy Writer - Julie Cobb",
Death,,"The real death is, not living while you are alive. Gutsy writer - Julie Cobb",
Death,Death,"We fear death because it is unknown. Tomorrow is unknown to us, because it hasn't happened yet. When we go to sleep at night we breathe a sigh of relief, finally getting to put an old day down and start a new one. Maybe death is like finally going to sleep at the end of a full day, and the only unknown is tomorrow. Gutsy Writer- Nicole Sacchitella",
DEPRESSION,,"I see depression more so as anxiety. I also see anxiety as of often related to thoughts of the past and thoughts of the future. What has happened or what could potentially happens. If you can feel and reconnect your innate survival skill to true intuition vs. thought, you might dissipate your anxiety. If it resonates, try bringing attention to feeling and self awareness. Check in with your body often. Are you tired? Hungry?Happy?Sad? If you are feeling or in the present moment through feeling. you typically wont have anxiety. Gutsy Writer - Julie Cobb",
DEPRESSION,"DEPRESSION,ANGER, SADNESS","Think of a ballon. You can only put so much air in it until it pops. Same thing with anger. Did you learn as a kid to hold in anger? Did your parents think it wasn't acceptable or polite? News flash….Everyone has anger. What is different, is whether we hold it in or let it go. If it resonates, find a constructive way to get rid of anger (screaming in the car or punching pillow). This release should not include another live being. It is about releasing anger for the sake of releasing anger. Then, you can decide how you would like to fill the space you now have. Gutsy Writer - Julie Cobb",
Depression,DEPRESSION,"The darkness of depression lives off of stagnant energy. Do something different: change your routine, make a new habit, a new place, a new activity, any of these new energies can make a crack in the darkness to let the light in. Gutsy Writer - Nicole Sacchitella",
Depression,DEPRESSION,"The energy of depression cannot thrive in a life that is deemed sacred. In a sacred life, feelings come and go as a way for our spirit to talk to us. Gutsy Writer -Nicole Sacchitella",
Deserving,Manifesting/ deserving,"A lot of times we don't think we can have what we want because we ""don't deserve it."" Deserving is an old concept our parents and teachers used to help us do our homework and eat our vegetables. We are free beings who can have dessert if we want it, not only because we finished our plates. You don't even have to eat dinner if you want dessert. You are free to have anything you want in this life. Gutsy writer -Nicole Sacchitella",
Deserving,Deserving/ manifesting ,"A child does not deserve to get born into abuse. The company CEO does not deserve a BMW for his birthday. You did not deserve to get sick. Things happen. Our only responsibility is be open, to adapt, to learn and to accept so that we can thrive no matter what happens. Gutsy Writer- Nicole Sacchitella",
Deserving,Deserving/ Manifesting/ growth,"In nature, a seed can be blown by the wind and land anywhere from a crack in the concrete to really fertile soil. Both seeds can grow and thrive. Each one adapts to their environment so they can grow. We all have the capacity to grow and to thrive, no matter what the conditions you start with you can flower and bear fruit. Gutsy Writer- Nicole Sacchitella ",
Deserving,manifesting,"Are you doing all the ""right"" things to manifest what you want and still seem stuck? Ask yourself if you are ready to have XYZ, if it showed up on your porchstep tomorrow. Do you feeling like you deserve to have it? Deserving is an important part of actually getting what you want. If you push away compliments and always pay people back, then you might not be ready to have what you want. Practice just saying ""thank you"" when someone gives you something. Tell the universe you can receive. Gutsy writer - Julie Cobb",
Dreams,"Dreams, inspiration",Your dreams are the way for your body and spirit to communicate to your mind. Gutsy Writer- Nicole Sacchitella,
Dreams,"Dreams, Inspiration","Dreams are an energetic, they may be symbolic, they may be literal, but they always leave an impression on us. How did it make you feel? This is the key to unlocking the message. Gutsy Writer- Nicole Sacchitella",
Dreams,"Dreams, Inspiration","Dreams are catalysts to guide us through a change. The next time you are daydreaming about doing something different, ask yourself if you are ready to take the leap. Gutsy Writer- Nicole Sacchitella",
EMOTIONS,EMOTIONS,"Sometimes we identify with our emotions, but energetically we are just the container where our emotions happen. We can sit and admire the fish at the aquarium: red ones, blue ones, toothy ones and appreciate them all as they come and go. Just like the fish at the aquarium you can sit and appreciate each emotion as it comes up and goes away inside of you; by watching them you can learn why each emotion is red or toothy or blue. Gutsy Writer -Nicole Sacchitella",
EMPATHY,"PAIN,EMPATHY","Some people in this world are better at feeling into other people's energy than our own! I believe empathy is our human gift an connection. Know when you are touching someone elses pain and when you are holding it! If you leave an interaction feeling energized, you are probably touching it. However if you leave an interaction feeling drained, you are probably holding it.",
Family,Family,"I never knew I was a yeller... then I had kids. Yep, I am a yeller. I think it is a parental style of sorts. When you become a parent, you don't know what kind of parent you will be. You probably have an idea of the parent you would like to be, but then the child is born. And guess what? They have their own agendas too. They are little beings with their own path ahead of them. It is an honor to be a part of my kids lives. I get to be their mother... it is an incredible experience. I love them beyond words. And often times I find myself yelling. Sometimes I yell because I am mad, but mostly I yell because I am simply trying to be heard. Big, little, it doesn't matter, we all want to be heard. Gutsy blogger - Tyler Stroebel",
Family,Family,Being a parent is both the most amazing experience of one's life AND the most challenging experience of one's life. It is all encompassing. You are doing great. Gutsy writer - Tyler Stroebel,
Family,Family,Someone should write a book on parental foibles. It would make newbie parents feel so much better about themselves. Gutsy writer - Tyler Stroebel ,
Family,Family,"Ugh! I got nothing done today... I walked the dog, fed the family breakfast, packed lunches, got the kids off to school, cleaned up the kitchen, did two hours of work, balanced the check book, took a shower, listened to a friend in need, volunteered at school, picked up kids from school, hosted play-dates, made dinner, cleaned up dinner, helped with homework, showers, and tucked kids to bed. I feel like a loser, I got nothing done. Just another day in the life of your average stay at home parent. HARDEST JOB EVER! Gutsy writer - Tyler Stroebel",
FEELINGS,"FEELINGS,SADNESS","Image you have a spirit (energy) inside of a physical body. They way to experience the spirit (energy) is to feel. A low energy might feel like sadness. I high energy might feel like joy. Once you feel, then you decide whether you want to keep that energy or let go of it. Regardless, if you want to feel connected or feel your spirit...it takes tuning into how you feel. Maybe wear something like a ring or bracelet to remind you to feel. Gutsy Writer - Julie Cobb",
Food,"Health, weight, body","The way other people eat, their values about nutrition, what worked for them, will not necessarily be right for you. Listen to your body. Eat what feels right to you. Gutsy Writer- Nicole Sacchitella",
Food,"Health, weight, body","Though we think differently, cravings have an inherit wisdom to them because they come from our body. Your body isn't out to wrong you! The next time you get a craving tune into to what your body is asking for, it knows what it needs better than any. Gutsy Writer- Nicole Sacchitella",
Food,"health, weight, body",How you feel when you are eating is just as important as the food itself. Gutsy Writer- Nicole Sacchitella,
Food,"health, feelings","There is thinking and there is feeling. If you want to feel good, tune into how your body feels and reacts to the food that you eat. As best as you can ignore what someone else has said about that food and be your own judge. Otherwise, you are eating for someone else. Gutsy Writer - Julie Cobb",
Food,"Food, health","From the day you were born, the food you ate built your body. If you don't like something your body is doing, then question the food you are eating. What you put in, is what you get out. Gutsy writer - Julie Cobb",
Forgiveness,,"You can only forgive someone else to the extent that you can forgive yourself. So if you are trying to find forgiveness, look at there you can forgive yourself. Gutsy writer - Julie Cobb",
forgiveness,"LOVE, forgiveness,TRUST","You can love someone else, forgive someone else and trust someone else to the extent that you can do those things for yourself. So the real question is… How can you build the love you have for yourself, the forgiveness you have for yourself and the trust of yourself to change your relationship with others? Gutsy Writer - Julie Cobb",
Healing,HEALING,"Healing is not the sudden absence of pain, instead it is learning to relate with pain in a new way. Gutsy Writer -Nicole Sacchitella",
Healing,Healing,Healing is one part giving and one part receiving. Receiving healing energy and support from our community helps us feel whole again after we have been hurt. Giving healing energy and support helps us understand why we had pain in the first place. Gutsy Writer -Nicole Sacchitella,
Healing,Healing,"The body is a self-healing organism. Without thinking about it our body is always working towards healing and given enough days passing even scars fade away. The healing of our emotional or energetic body works the same way, if you find yourself feeling impatient with a process, remember that your energy is self-healing and sometimes the best medicine is time. Gutsy Writer- Nicole Sacchitella",
Healing,"Healing, Relationships","It is natural to want to help other people, especially the people we love. As sensitive beings we are often consciously and unconsciously trying to heal other people. The truth is that we have other people in our lives so that we can heal ourselves. If for example we have a person who is very judgmental towards us and we try to prove to her we are good enough in order to please him or her, we are invalidating ourselves, potentially hurting ourselves and affirming a painful pattern in another person. If instead we tried to did what felt best to us, maybe that person could relate to us in a new way that wasn't charged with our need to change their behavior or feelings. Only when we take care of ourselves, can we help anyone else. Gutsy writer- Nicole Sacchitella",
HEALTH,,"Think about where in your body you have pain or a communication. Then think about what that body part does. Does it pivot, does it digest, is it the foundation or the thing that moves you forward? On a cellular level your body will emulate a way of being. Gutsy Writer - Julie Cobb",
HEALTH,HEALTH,"If you don't feel good, how can you perceive anything in this world as good? If you want to change your outlook, what your attracting or anything , start with you. If you feel good, it changes how you see and what you attract. Gutsy Writer - Julie Cobb",
HEALTH,HEALTH,"Oftentimes we want think ""getting healthy"" is the act of changing something in our bodies. Our bodies are not trying to harm us or work against us, they are trying to talk to us by manifesting different messages physically. To feel healthy, we get to converse with our body and respond with what it needs . Gutsy Writer -Nicole Sacchitella",
Health,Health,"Whatever your body is craving is what it needs, may it be a bar of chocolate or screaming out loud. The body is wired to heal itself, so any of its impulses, are just what the doctor ordered. Gutsy Writer -Nicole Sacchitella",
Health,Health,"In moments of pain, darkness, and negativity, remember there is ALWAYS a rightful counterpart displaying qualities of comfort, lightness, and positivity. This is the secret to healing. Gutsy writer - Tyler Stroebel",
Health,Health,"The body is our physical container for not just what we can see and feel, but also for the things that go unseen and under appreciated. There is so much activity processing on the cellular level, mentally, emotionally, and spiritually. Our physical bodies have to find a way to contain all of that! It is pretty miraculous if you think about it. So, whether your body is behaving the way you would like it too or not, give it a little break. Be kind and simply appreciate it for all it is actually doing right! Gutsy writer - Tyler Stroebel",
Health,Health,"You don't need to be sick to take a break. Take a sick day to lay in bed all day and watch movies, or go skiing, or meet up with friends. Wouldn't it be more fun to enjoy your sick day instead of actually being sick? Take care of yourself (mind, body, spirit) before life gets you down and your body has no other option and shuts down for you, leaving you sick. Gutsy writer - Tyler Stroebel",
Health,"health, pain, feelings","Pain is not a punishment, it is a sign to do something differently. Gutsy Writer- Nicole Sacchitella",
HOPE ,"HOPE,FEAR","The truth is that we don't know what is going to happen. What we control is how we experience the meantime. It's more fun to have hope versus fear. So when you catch yourself scared of the worst case scenario, follow it up with thinking about what the best case scenario would look like. Gutsy Writer - Julie Cobb",
Inspiration,Inspiration,"Do what you love, with people you love and do it now. Gutsy Writer -Nicole Sacchitella",
Inspiration,Inspiration,"What if life is a big playground where we are all running around, scraping our knees and getting up to go play again? Gutsy Writer- Nicole Sacchitella ",
Inspiration,"Trust, inspiration",Trusting your feelings to navigate your world is the most accurate compass. Gutsy Writer- Nicole Sacchitella,
Inspiration,Inspiration,"If you can see it and if you can feel it, you can do it. Gutsy Writer- Nicole Sacchitella",
Inspiration,,"There is a first for everything. The best way to limit yourself is to wait for someone else to do what you would like to do. What will you be the first of, in your lifetime? Gutsy writer - Julie Cobb",
Intuition,Intuition,"If your foot hurts, how does your brain know? Really how does information travel in the body?",
Intuition,Intuition,Open your eyeballs to the unseen. Let your imagination soar. Trust what you see. It's not stupid. It's not lame. It's not weird. It is valid. It has a purpose. It is important. It is an empowering piece to your puzzle. Gutsy writer - Tyler Stroebel,
intuition,,"There is a difference between ""knowing"" and ""knowing"". Do you know what I mean? Gutsy writer - Tyler Stroebel",
Intuition,Intuition," Your intuition is yours and you understand your intuitive information in the most private and personal way. The primary feat of accessing your intuition is learning about your personal intuitive process. Give yourself full permission to explore your feelings, your dreams, your senses, your body, your relationships, anything and everything that might be a means of getting in touch with yourself. Gutsy Writer- Nicole Sacchitella",
Intuition,Intuition,"Imagine your intuition like a tuning-fork, harmonizing with what feels right or creating dissonance with what doesn't. If you have grown accustom to dissonance by repressing what feels right to your intuition it is hard to hear the harmony through the noise. By alleviating the things in your life that cause you disharmony you strengthen your ability to tune into what is right for you. Gutsy Writer- Nicole Sacchitella",
Letting Go,Letting go,"The notion of ""letting go"" is literally seen as dropping something from your grasp. People often expect to let go of a memory, a time, a pattern or a person and expect that act to somehow erase whatever has happened. I find that letting go of something inside of us is actually an act of pulling that which we want to to drop closer. By honoring that part of ourselves more we are able to examine it and accept it more deeply, and in that acceptance we are actually able to move on and grow. Gutsy Writer -Nicole Sacchitella",
Letting go,Patterns,"Changing a pattern is tough. No matter what the pattern is. However, if you are reading this, you are probably done with that pattern anyway. We repeat patterns until we are no longer willing to repeat them. The first step to getting something new, is to stop entertaining what is old. Gutsy writer - Julie Cobb ",
Life,Life,"We live in a busy world. Be busy with things or people, that make you feel good, that honor your spirit and that give back to your soul. What if we all were that kind of busy??? That would be some worthy busyness. Gutsy writer - Tyler Stroebel",
Life,Perfectionist,There's a fine line between doing your best AND being kind to self. Gutsy writer - Tyler Stroebel,
Life,,Everything is going to be OK. Gutsy writer - Mara Jane King,
Love,Love,"Love is cumulative and our capacity to love expands as our experience does: when we are born love means our parents hold and care for us, when we are children love means putting gum in our crush's hair and as we get older love accumulates all of the experiences we have ever had with any one we have ever loved. The breadth of experience usually means intensity, transcendence, beauty and loss. It is all of those things that bring us a fuller understanding of how powerful it is to love. When something breaks our heart it breaks open the boundaries of our experience so that we may love bigger, wider and deeper. Gutsy Writer- Nicole Sacchitella",
Love,"relationships, ","Love is subjective and we all have our own definition. Ask yourself what love means to you. Then throw that definition away if your answer was anything other than ""love means love"". Gutsy writer - Julie Cobb",
Love ,,You can only love someone else to the extent that you can love yourself. Gutsy writer - Julie Cobb,
MANIFESTING,,"Our brains are powerful. But, our brains are not as powerful as our spirit. At the end of the day, we all just want to feel good. Our brains think that we know what is going to make us feel good. So we end up chasing those things. Money, relationship, power etc. Nothing is wrong with wanting any of those things, however, think about the laws of attraction and becoming the thing you are trying to attract. Do things to make yourself feel abundant, loved and strong! Feeling is an experience of energy and energy is what attracts, so become what you want! Gutsy Writer - Julie Cobb",
MANIFESTING,,"Think of a ballon. You can only put so much air in it until it pops. Same thing with anger. Did you learn as a kid to hold in anger? Did your parents think it wasn't acceptable or polite? News flash….Everyone has anger. However, if you have anger, even if it's from your childhood, it could be in the way of manifesting what you want and you need to make room. If it resonates, find a constructive way to get rid of anger (screaming in the car or punching pillow). This release should not include another live being. It is about releasing anger for the sake of releasing anger. Then, you can decide how you would like to fill the space you now have. Gutsy Writer - Julie Cobb",
Manifesting,MANIFESTING," Sometimes we get attached to the idea of something we want because it offers us a source of comfort and escape from a life we aren't ready to have change. Ask yourself what is it that you want? What would have to be different in order to have it? Getting something you want will change your life, and by living your change you will get what you want. Gutsy Writer -Nicole Sacchitella","Manifesting and getting what you want is largely about the laws of attraction. Knowing what you want is important, but we often forget about the energy it takes to attract it. How well do you know what your energy is attracting? Often we really know what we want, but sometimes get frustrated when it's not showing up. Manifesting is about being the energy of what you want. If you want love, its about being love. If you want abundance, its about being abundant. If you want freedom, its about being free. It is generally helpful to feel a certain way, in order to be it. However, it is not mandatory. There is a link between your thoughts, your perception and your energy. A person can be in prison, but still feel free. And person can be free and feel like they are in prison. Only one of those people has freedom. It can be hard to understand what our energy is doing, but feeling is a great way to gain that awareness. You can use feelings as a guidance of your energy. Your thoughts in some form will manifest into something. So its important to understand the energy of your thoughts, perception and how you might be experiencing them, with feelings. If your thoughts are predominately fear, then you may feel fear and then attract fear. Your energy can be formed by what you think. The more clear you are about what you think and the more present you are to it, the more you have the ability to shift your perception, feelings and energy. Your feelings can be a great source of guidance, in understanding what you are attracting. "
Manifesting,MANIFESTING,"When we have special person comes to our home, we make up their bed with new sheets, light some candles and cook them a nice meal. Treat what you want like it is special. The thing you're wanting will come into your life if it has a special place to land. Gutsy Writer -Nicole Sacchitella",
Manifesting,MANIFESTING,"A sapling does not try to become a big tree, instead it becomes a big tree because it is a sapling. If you are exhausting yourself to become something, try relaxing and see what form you take. Gutsy Writer -Nicole Sacchitella",
Manifesting,MANIFESTING,"A cow can't produce milk unless it has a hungry calf; we can want things for the sake of having them, however when we know what purpose they will serve only then are we able to attract them. Gutsy Writer- Nicole Sacchitella",
Manifesting,Manifesting,"Let go of other peoples formulas or models... If they were going to work, they would have worked for you by now. Find your center, your guide, your formula. You are unique as there is only one you. Gutsy writer - Tyler Stroebel",
Manifesting,Manifesting,"The Law of Attraction states that you get what you put out there. This statement is both uplifting and daunting all at the same time. It says that we can create or manifest what we want in life. Hooray!!! But wait, does that mean that we can control everything that happens in our life? This is a common conundrum in the manifesting world. And for us control freaks, insanity is right around the corner. For this reason I live by two Laws... The Law of Attraction AND Shit Happens. Gutsy writer - Tyler Stroebel",
Manifesting,Manifesting,"Your true desires are the most sacred thing you have to offer in any given moment. Think about it: when you really know something you want, when you can really feel it, you have bridged an intimate part of your heart with a part of your knowing. By owning those desires and honoring them, whether that means saying them out loud, acting from them, writing them down or praying about it, you can birth that sacred part of yourself into the world. Gutsy Writer- Nicole Sacchitella",
Manifesting,Manifesting,"Seeing is believing...right? If you are able to see what your life will be and feel like when a dream is made reality you are able to make it happen. It is that vision on the horizon that gives us the path to walk towards. The place in time that holds your dream may be far off, but it can give you the means to walk in its direction, the path making itself apparent as you go along. Your dreams are tools to navigate from, the only way to get lost is to lose sight of them. Gutsy Writer- Nicole Sacchitella",
MONEY,MONEY,"Money is an energy. Just like water, love or food. First ask what your relationship to money is an how you would change it. Remember, money is more available if you 1. are ready to accept it. How accepting are you? 2. feel abundant already. Remember everything is the laws of attraction. Become what you want. In this moment, how can you make yourself feel more abundant? Gutsy Writer - Julie Cobb",
Money,,"Money is an energy, similar to air or water. We need to breathe out to breathe in. Where are you gripping on to money or restricting yourself in order to have more? That very gripping, most likely is insuring that you have less. Show the universe that you trust, by treating yourself. Gutsy writer - Julie Cobb",
Money,,"Money is paper with some pictures on it. Do you want more paper with pictures on it? Or do you want to feel wealthy and affluent? Even if you get more paper with pictures on it, you might not feel any better. The universe can deliver how you want to feel, sooner than it can try to predict your mind. So get clear on how you want to feel, not what you think is going to evoke a feeling, and ask for it. Gutsy writer - Julie Cobb",
PAIN,"DEPRESSION,COMPARISON,","There is no order of magnitude in pain or anything for that matter. So saying ""I should be grateful"" or ""I should be happy"" is never going to make your pain go away. What is the difference between some in Haiti struggling for food to survive and a person driving a BMW, who is so depressed they are also struggling to survive? The only difference is the experience, but the pain is the same. Stop telling yourself you should feel different. Try accepting yourself and how you feel regardless of your external circumstances. Resisting pain, does not make it go away. Gutsy Writer - Julie Cobb",
PAIN,"Depression, pain, anxiety","Pain, whether in the form of a paper cut, depression, cancer or anxiety, is the ultimate form of communication. Pain tells us ""do something different"" If you are holding a hot potato, your brain says ""shit girl, that's hot! Drop it!!!!!!"" Our bodies are brilliant at telling us to do things differently. So no matter your pain, what can you do differently? Diet? sleep? career? relationship? Gutsy Writer - Julie Cobb",
"PATTERNS, CHANGE","PATTERNS, CHANGE","Patterns are familiar and even if they don't serve us, they can become comfortable. We might logically know that something is not good for us, but the illusion of predictability and familiarity keeps us doing it. Until, that is, when we reach a point where we are just sick of repeating the pattern. Change is scary only because it is unpredictable. Make the safety of change predictable, by challenging yourself to do things that are unpredictable, even if they have nothing to do with your struggle in mind. Gutsy Writer - Julie Cobb",
POWER,"POWER, MANIFESTING, HEALTH","Nothing in this universe is more powerful than you. Whatever you are struggling with, you have the power to change it. Afterall, you had the power to create it. Gutsy Writer - Julie Cobb",
Prayer,Prayer,"I have never thought of prayer as the act of humbly asking a greater force to have pity on you, instead I see it as letting Spirit know that you are ready for how you want it to be. Gutsy Writer- Nicole Sacchitella",
Prayer,Prayer,"Whatever prayer means to each of us personally, no matter who we think hears what we say, it is powerful. In simple terms we state something true to our heart so that 'something else' hears us. No matter if we say it so that we hear it, our higher-self hears it, our unconscious hears it, our body hears it, our spirit hears it, a guardian angel hears it, or some power we feel is greater than us hears it, we are putting a truth from our heart out into the world so that something can be done. Gutsy Writer -Nicole Sacchitella",
Prayer,Prayer,"When praying, think about the energy behind the prayer. Are you praying from a place of lack OR are you praying from a place of trust and knowing? Gutsy Writer - Tyler Stroebel ",
